DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/15/2015,7:05,QUEENS,11356,40.7816842,-73.8459383,"(40.7816842, -73.8459383)",COLLEGE POINT BOULEVARD,20 AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3316022,PASSENGER VEHICLE,UNKNOWN,,,
10/15/2015,7:00,QUEENS,11385,40.7008044,-73.9073599,"(40.7008044, -73.9073599)",MADISON STREET,CYPRESS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3315941,PASSENGER VEHICLE,UNKNOWN,,,
10/15/2015,6:30,BROOKLYN,11216,40.678723,-73.9529869,"(40.678723, -73.9529869)",BEDFORD AVENUE,BREVOORT PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3315867,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,6:26,BROOKLYN,11217,40.6866823,-73.9793644,"(40.6866823, -73.9793644)",LAFAYETTE AVENUE,FLATBUSH AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3315890,SPORT UTILITY / STATION WAGON,,,,
10/15/2015,6:25,,,,,,45 AVENUE,JUNCTION BOULEVARD,,1,0,1,0,0,0,0,0,,,,,,3316049,BUS,,,,
10/15/2015,6:17,,,,,,,,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,3315841,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/15/2015,6:15,QUEENS,11373,40.7415044,-73.8838757,"(40.7415044, -73.8838757)",45 AVENUE,81 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3316048,PASSENGER VEHICLE,,,,
10/15/2015,6:15,BROOKLYN,11237,40.7085426,-73.9274072,"(40.7085426, -73.9274072)",JOHNSON AVENUE,VARICK AVENUE,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3315901,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
10/15/2015,6:00,BROOKLYN,11231,40.6816173,-73.9985182,"(40.6816173, -73.9985182)",CLINTON STREET,CARROLL STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3316475,TAXI,SPORT UTILITY / STATION WAGON,,,
10/15/2015,5:53,,,40.6305464,-74.0169903,"(40.6305464, -74.0169903)",,,,1,0,0,0,0,0,1,0,Failure to Keep Right,,,,,3320312,PASSENGER VEHICLE,,,,
10/15/2015,5:50,,,40.8243922,-73.836293,"(40.8243922, -73.836293)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3315682,PASSENGER VEHICLE,OTHER,,,
10/15/2015,5:50,BROOKLYN,11230,40.620949,-73.9554915,"(40.620949, -73.9554915)",OCEAN AVENUE,AVENUE L,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3321028,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
10/15/2015,5:40,BROOKLYN,11213,40.6777156,-73.935859,"(40.6777156, -73.935859)",ATLANTIC AVENUE,TROY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3315868,UNKNOWN,,,,
10/15/2015,5:30,,,,,,,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3316295,PASSENGER VEHICLE,OTHER,,,
10/15/2015,5:30,,,40.727873,-73.9291223,"(40.727873, -73.9291223)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3316627,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/15/2015,5:15,BROOKLYN,11220,40.6326333,-74.0125342,"(40.6326333, -74.0125342)",65 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Failure to Keep Right,Lost Consciousness,,,,3315782,VAN,SPORT UTILITY / STATION WAGON,,,
10/15/2015,5:02,QUEENS,11434,40.6561603,-73.7673526,"(40.6561603, -73.7673526)",ROCKAWAY BOULEVARD,GUY R BREWER BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3315953,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
