DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/16/2016,21:01,BRONX,10454,40.8035936,-73.9197796,"(40.8035936, -73.9197796)",BRUCKNER BOULEVARD,SAINT ANNS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3390028,PASSENGER VEHICLE,UNKNOWN,,,
02/16/2016,20:56,BRONX,10454,40.8075069,-73.9270031,"(40.8075069, -73.9270031)",EAST 134 STREET,ALEXANDER AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,3389390,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/16/2016,10:55,BRONX,10454,40.8104047,-73.9219497,"(40.8104047, -73.9219497)",WILLIS AVENUE,EAST 140 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3389382,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/14/2016,5:09,BRONX,10454,40.8049049,-73.9188208,"(40.8049049, -73.9188208)",EAST 135 STREET,SAINT ANNS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3388861,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/13/2016,17:21,BRONX,10454,40.8043441,-73.9215703,"(40.8043441, -73.9215703)",BRUCKNER BOULEVARD,BROOK AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3388858,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/13/2016,9:11,BRONX,10454,40.8068225,-73.9174784,"(40.8068225, -73.9174784)",SAINT ANNS AVENUE,EAST 138 STREET,,1,0,0,0,0,0,1,0,Other Vehicular,Driver Inattention/Distraction,,,,3388329,BUS,PASSENGER VEHICLE,,,
02/12/2016,19:13,BRONX,10454,40.8049049,-73.9188208,"(40.8049049, -73.9188208)",EAST 135 STREET,SAINT ANNS AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3388330,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/12/2016,7:15,BRONX,10454,40.8100528,-73.9251435,"(40.8100528, -73.9251435)",EAST 138 STREET,ALEXANDER AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3387849,PASSENGER VEHICLE,BICYCLE,,,
02/11/2016,21:59,BRONX,10454,40.8068402,-73.9274915,"(40.8068402, -73.9274915)",ALEXANDER AVENUE,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,,,,,3387217,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/10/2016,11:30,BRONX,10454,40.8068225,-73.9174784,"(40.8068225, -73.9174784)",EAST 138 STREET,SAINT ANNS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3386691,PASSENGER VEHICLE,UNKNOWN,,,
